Source,Recipient Congressional District,Recipient Name,Award ID,Latest Modification Number,First Action Type,First Action Type Description,First Action Date,Latest Action Type,Latest Action Type Description,Latest Action Date,Action Code Termination Modification,Action Code Termination Date,Closeout Modification Number,Closeout Action Date,Start Date,Current End Date,End Date Basis,Initial Reported End Date,Current Obligated Amount,Total Outlays,Award or Action Description,Primary Detection Method,Detection Evidence,Recipient Business Categories,USAspending URL,Claimed By,DOGE Claimed Status,DOGE Claimed Savings,DOGE Claim Date
USAspending Terminations,CA-12,"Regents of the University of California, The",80NSSC22K0674,P00003,A,NEW,2022-04-11,D,ADJUSTMENT TO COMPLETED PROJECT,2025-04-22,,,P00003,2025-04-22,2022-02-16,2025-05-15,period_of_performance,2025-02-15,268899.51,268899.51,"DETECTION OF OVER 4700 EXOPLANETS SUGGESTS THAT CLOSE-IN  ROCKY EXOPLANETS OF MAGNETICALLY ACTIVE G  K AND M DWARFS SHOULD BE EXPOSED TO HIGH STELLAR CORONAL X-RAY AND EXTREME ULTRAVIOLET (XUV) AND LARGE STELLAR WIND MASS FLUXES. THE KEPLER AND TESS MISSIONS HAVE REVEALED FREQUENT SUPERFLARES ON COOL G--M PLANET-HOSTING DWARF STARS  PROVIDING A MECHANISM BY WHICH HOST STARS COULD DIRECTLY INFLUENCE THE PHYSICAL AND CHEMICAL EVOLUTION OF EXOPLANETARY ATMOSPHERES. SOLAR STUDIES SUGGEST THAT LARGE FLARES ARE ACCOMPANIED BY THE ERUPTION OF MAGNETIZED CORONAL PLASMA REFERRED TO AS CORONAL MASS EJECTIONS (CMES). WHILE STELLAR SUPERFLARES CAN BE DIRECTLY DETECTED AND CHARACTERIZED IN XUV  OPTICAL  AND RADIO WAVELENGTHS  THE SIGNATURES OF STELLAR WINDS AND SUPERFLARE CMES REMAIN ELUSIVE AND REQUIRE DETAILED THEORETICAL MODELING. OUR MAJOR SCIENCE QUESTIONS ARE: 1.) WHAT ARE THE CORONAL XUV EMISSION AND STELLAR WIND MASS FLUXES FROM ACTIVE G--M DWARFS? 2.) HOW DOES THE EVOLUTION OF THE MAGNETIC FIELD AND STELLAR ATMOSPHERE TRIGGER STELLAR SUPERFLARES? WHAT IS THE NATURE OF THE STELLAR FLARE--CME RELATIONSHIP AND WHAT ARE THEIR OBSERVATIONAL SIGNATURES? 3.) HOW ARE EXOPLANETARY SPACE WEATHER IMPACTS DRIVEN BY THE HOST STAR'S XUV EMISSION  AMBIENT STELLAR WINDS  SUPERFLARES AND THEIR ASSOCIATED CMES AND ENERGETIC PARTICLE FLUXES? THE SCIENCE GOALS OF THE PROPOSED INTERDISCIPLINARY STUDY ARE TO USE AVAILABLE HST  XMM-NEWTON  TESS  NICER AND SPECTROPOLARIMETRIC OBSERVATIONS OF ACTIVE G--M DWARFS AS INPUTS AND CONSTRAINTS FOR MULTI-DIMENSIONAL MAGNETOHYDRODYNAMIC (MHD) MODELING OF (A) THE STRUCTURE AND ENERGIZATION OF THE MAGNETIC FIELD CONFIGURATIONS OF STARSPOT GROUPS/STELLAR ACTIVE REGIONS  AND (B) THE RAPID RELEASE OF FREE MAGNETIC ENERGY DURING STELLAR SUPERFLARES AND THE DYNAMICS AND OBSERVATIONAL SIGNATURES OF THEIR ASSOCIATED CMES. THE PROPOSED INVESTIGATION IS HIGHLY RELEVANT TO XRP PROGRAMMATIC QUESTIONS AS IT CROSSES NASA S MULTI-DIVISIONAL BOUNDARIES THROUGH THE COUPLING OF DATA OBTAINED WITH FLAGSHIP ASTROPHYSICS MISSIONS WITH HELIOPHYSICS MODELS TO ADDRESS THE PROGRAM S GOAL: ""OBSERVATIONAL CHARACTERIZATION OF EXOPLANETS  THEIR ATMOSPHERES  THEIR INTERACTIONS WITH THEIR HOST STARS  OR SPECIFIC HOST STAR PROPERTIES THAT DIRECTLY IMPACT OUR UNDERSTANDING OF EXOPLANETARY SYSTEMS."" THE PROPOSED PROJECT WILL HAVE A POTENTIALLY TRANSFORMATIVE IMPACT ON THE FIELD OF EXOPLANET RESEARCH BECAUSE IT EXPANDS THE DEFINITION OF HABITABLE ZONES EXPOSED TO STELLAR IONIZING RADIATION AND PROVIDES CRITICAL INPUTS FOR MODELING AND CHARACTERIZATION OF EXOPLANET ATMOSPHERES AND THEIR EVOLUTION. THIS PROJECT IS DIRECTLY RELEVANT TO DATA FROM HST  KEPLER AND TESS AND WILL LEAD TO PREDICTIONS THAT CAN BE TESTED WITH OBSERVATIONS.",obligation_clawback,"Pure-clawback deobligation P00003 on 2025-04-22 (26% of $361,552)","educational_institution, higher_education, minority_owned_business, minority_serving_institution_of_higher_education, nonprofit, other_minority_owned_business, public_institution_of_higher_education",https://www.usaspending.gov/award/ASST_NON_80NSSC22K0674_080/,,,,
DOGE,VA-11,"Rei Systems, Inc.",80NSSC23FA267,P00006,,,2023-03-28,G,EXERCISE AN OPTION,2026-03-31,,,,,2023-04-01,2027-03-31,period_of_performance,2024-03-31,3978520.18,2787005.19,"Status: OTHER ADMINISTRATIVE ACTION. Reported savings: $5,437,168.00. DOGE Action Date: 3/20/2025. This task provides unique, direct portfolio planning, operations and execution support to the early stage innovations and partnerships portfolio which provides support to NASA’s early stage technology development and tech commercialization programs that are pioneering aerospace research and transformative technology ventures to enable NASA’s mission and invigorate our economic future. task provides operations management support; strategic planning and execution support for stmd-wide processes run by esip to identify and competitively select industry technology development partnerships; organization design and change management as stmd re-organizes; and engagement support to improve the ""front door"" to stmd for external innovators.",external_claim,OTHER ADMINISTRATIVE ACTION,"category_business, corporate_entity_not_tax_exempt, minority_owned_business, other_than_small_business, special_designations, subcontinent_asian_indian_american_owned_business, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC23FA267_8000_80NSSC23AA003_8000/,DOGE,OTHER ADMINISTRATIVE ACTION,5437168.0,3/20/2025
DOGE,NC-04,Research Triangle Institute,80NSSC25K7029,P00003,A,NEW,2024-11-04,D,ADJUSTMENT TO COMPLETED PROJECT,2026-05-04,,,P00003,2026-05-04,2024-10-04,2025-05-09,period_of_performance,2027-10-03,15620.96,15620.96,"DOGE Action Date: 5/14/2025. Reported savings: $0.  project green, greenspace and remote sensing for the environment and equity in neighborhoods ",external_claim,,"category_business, corporate_entity_tax_exempt, nonprofit, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/ASST_NON_80NSSC25K7029_080/,DOGE,,0.0,5/14/2025
USAspending Terminations,VA-08,"Rios Partners, LLC",80NSSC24AA014,P00004,,,2024-01-30,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-06-09,P00004,2025-06-09,,,2024-01-29,2029-04-15,idv_last_date_to_order,2029-07-15,0.00,,TERMINATION FOR CONVENIENCE AGREEMENT - CHANGE MANAGEMENT SUPPORT SERVICE BPAS FOR NASA ADMINISTRATIVE SUITE.,termination_action_code,Terminate-for-convenience action P00004 on 2025-06-09,"category_business, corporate_entity_not_tax_exempt, hispanic_american_owned_business, minority_owned_business, self_certified_small_disadvanted_business, service_disabled_veteran_owned_business, small_business, special_designations, subchapter_s_corporation, us_owned_business, veteran_owned_business",https://www.usaspending.gov/award/CONT_IDV_80NSSC24AA014_8000/,,,,
USAspending Terminations,VA-08,Rma Associates LLC,80HQTR22AA003,P00005,,,2022-05-27,N,LEGAL CONTRACT CANCELLATION,2025-04-03,,,,,2022-06-01,2025-04-03,idv_last_date_to_order,2027-05-31,0.00,,LEGAL CONTRACT CANCELLATION - NASA'S ANNUAL FISMA EVALUATION SUPPORT FOR OIG DIRECTORATE,legal_contract_cancellation,Legal-contract-cancellation action P00005 on 2025-04-03,"8a_program_participant, category_business, corporate_entity_not_tax_exempt, limited_liability_corporation, minority_owned_business, other_minority_owned_business, self_certified_small_disadvanted_business, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_IDV_80HQTR22AA003_8000/,,,,
USAspending Terminations,CA-16,SETI Institute,80HQTR20D0005,P00005,,,2020-06-15,M,OTHER ADMINISTRATIVE ACTION,2025-04-08,,,,,2020-07-01,2025-04-08,idv_last_date_to_order,2025-06-30,0.00,,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - PPSS IDIQ PROVIDES MULTIDISCIPLINE TECHNICAL SUPPORT SERVICES THROUGHOUT THE PRODUCT LIFECYCLE OF SPACE FLIGHT HARDWARE.,termination_language,Termination-language transaction P00005 on 2025-04-08,"category_business, corporate_entity_tax_exempt, nonprofit",https://www.usaspending.gov/award/CONT_IDV_80HQTR20D0005_8000/,,,,
USAspending Terminations,TX-07,Schlumberger Technology Corporation,80GSFC21C0057,P00014,,,2021-03-26,M,OTHER ADMINISTRATIVE ACTION,2025-09-04,P00013,2025-08-18,,,2021-03-26,2026-03-26,period_of_performance,2026-03-25,2855464.73,2835061.93,"TERMINATION FOR CONVENIENCE AGREEMENT - PULSED NEUTRON GENERATORS FOR THE NASA DRAGONFLY AND DRAGONFLY TITAN LANDER AND THE DEVELOPMENT AND ADVANCEMENT OF LUNAR INSTRUMENTATION (DALI), BULK ELEMENTAL COMPOSITION ANALYZER (BECA) INSTRUMENT.",termination_action_code,Terminate-for-convenience action P00013 on 2025-08-18,"category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80GSFC21C0057_8000_-NONE-_-NONE-/,,,,
DOGE,VA-11,Science Applications International Corporation,80HQTR25FA007,P00003,,,2024-10-23,M,OTHER ADMINISTRATIVE ACTION,2025-03-14,,,,,2024-10-23,2025-02-14,period_of_performance,2024-12-23,865076.75,807172.06,"Status: Expired. Reported savings: $0. DOGE Action Date: 3/20/2025. Review, validate, and advise on draft plan, messaging and branding of the plan, plan implementation analysis and recommendations, rollout & metrics",external_claim,Expired,"category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR25FA007_8000_80HQTR24AA005_8000/,DOGE,Expired,0.0,3/20/2025
USAspending Terminations,PA-02,Scistarter LLC,80NSSC26M0012,P00003,A,NEW,2026-02-19,D,ADJUSTMENT TO COMPLETED PROJECT,2026-07-22,,,P00003,2026-07-22,2026-02-01,2029-01-31,period_of_performance,,41262.00,25000.00,SINGLE SOURCE,obligation_clawback,"Pure-clawback deobligation P00003 on 2026-07-22 (72% of $149,946)","category_business, limited_liability_corporation, partnership_or_limited_liability_partnership, self_certified_small_disadvanted_business, small_business, special_designations, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/ASST_NON_80NSSC26M0012_080/,,,,
USAspending Terminations,TX-22,Silverback Associates LLC,80NSSC26P0009,P00001,,,2025-11-20,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-02-18,P00001,2026-02-18,,,2025-11-20,2025-12-31,period_of_performance,2025-12-31,0.00,0.00,BARD AC UNIT,termination_action_code,Terminate-for-convenience action P00001 on 2026-02-18,"black_american_owned_business, category_business, manufacturer_of_goods, minority_owned_business, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC26P0009_8000_-NONE-_-NONE-/,,,,
DOGE,IL-07,Society of Women Engineers,80NSSC24PC049,P00002,,,2024-08-14,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-06,P00002,2025-03-06,,,2024-08-01,2025-03-06,period_of_performance,2025-07-31,33100.00,33100.00,"Status: TERMINATED. Reported savings: $33,100.00. DOGE Action Date: 3/20/2025. Recruiting: society of women engineers (SWE) corporate partnership council and participation in associated recruiting events",external_claim,TERMINATED,"category_business, corporate_entity_tax_exempt, nonprofit, other_than_small_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PC049_8000_-NONE-_-NONE-/,DOGE,TERMINATED,33100.0,3/20/2025
NASA Procurement Data View,TX-20,Southwest Research Institute,80GSFC23CA005,P00006,,,2022-12-06,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-09-11,P00006,2025-09-11,,,2022-12-06,2025-07-30,period_of_performance,2023-12-05,2759020.00,2758875.12,COMPLETE TERMINATION FOR CONVENIENCE OF NASA GEOSPACE DYNAMICS CONSTELLATION (GDC) COMPREHENSIVE AURORAL PRECIPITATION EXPERIMENT (CAPE),description_keyword,,"category_business, corporate_entity_tax_exempt, nonprofit, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA005_8000_-NONE-_-NONE-/,,,,
USAspending Terminations,TX-20,Southwest Research Institute,NNM16AA08C,P00058,,,2015-11-09,C,FUNDING ONLY ACTION,2026-07-16,,,,,2015-11-13,2034-02-28,period_of_performance,2016-11-12,74931167.70,58977454.68,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO DESCOPE - LUCY IS A PLANNED NASA SPACE PROBE THAT WILL TOUR FIVE JUPITER TROJANS, ASTEROIDS WHICH SHARE JUPITER'S ORBIT AROUND THE SUN, ORBITING EITHER AHEAD OF OR BEHIND THE PLANET AND ONE MAIN BELT ASTEROID. ALL TARGET ENCOUNTERS WILL BE FLY-BY ENCOUNTERS.",termination_language,Termination-language transaction 44 on 2025-01-23,"category_business, corporate_entity_tax_exempt, nonprofit, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_NNM16AA08C_8000_-NONE-_-NONE-/,,,,
DOGE,CA-24,Space Exploration Technologies Corp,80NSSC25PA014,P00001,,,2024-10-02,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-08,P00001,2025-04-08,,,2024-10-07,2025-04-08,period_of_performance,2025-08-31,19038.40,19038.40,"Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Aspire public-private talent program, spacex immersion",external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, manufacturer_of_goods, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC25PA014_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,5/6/2025
USAspending Terminations,CA-14,Spatial Informatics Group LLC,80MSFC20C0050,P00012,,,2020-09-11,M,OTHER ADMINISTRATIVE ACTION,2025-04-28,,,,,2020-09-13,2025-04-15,period_of_performance,2021-09-12,954983.90,954983.62,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO DE-SCOPE - SERVIR GLOBAL NETWORK CAPABILITY PROGRAM,termination_language,Termination-language transaction P00011 on 2025-02-07,"category_business, corporate_entity_not_tax_exempt, limited_liability_corporation, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80MSFC20C0050_8000_-NONE-_-NONE-/,,,,
DOGE,VA-11,"Strategy Consulting Team, LLC",80NSSC24FA447,P00005,,,2024-04-15,M,OTHER ADMINISTRATIVE ACTION,2026-06-08,,,,,2024-04-15,2027-06-30,period_of_performance,2025-02-28,236532.44,125422.44,"Status: FUNDING ONLY ACTION. Reported savings: $248,077.12. DOGE Action Date: 2/18/2025. Provides NASA supervisory intensive leadership program (SILP) support on the NASA enterprise-wide human capital support services (NEHCSS) contract in accordance with contract terms and conditions for the NASA office of the chief human capital officer (OCHCO).",external_claim,FUNDING ONLY ACTION,"category_business, corporate_entity_not_tax_exempt, limited_liability_corporation, self_certified_small_disadvanted_business, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24FA447_8000_80NSSC23DA003_8000/,DOGE,FUNDING ONLY ACTION,248077.12,2/18/2025
USAspending Terminations,MD-03,"Straughan Environmental, Inc.",80JSC024F0025,P00009,,,2024-02-08,M,OTHER ADMINISTRATIVE ACTION,2025-05-21,,,,,2024-03-01,2025-02-28,period_of_performance,2025-02-28,246063.96,246063.96,"CANCELLATION OF PARTIAL STOP WORK NOTICE AS NON-APPLICABLE - CALL 29 (NON-CORE SUPPORT), JSC ENVIRONMENTAL SERVICES TEAM I (JEST I)",termination_language,Termination-language transaction P00007 on 2025-02-20,"category_business, corporate_entity_not_tax_exempt, dot_certified_disadvantaged_business_enterprise, economically_disadvantaged_women_owned_small_business, minority_owned_business, other_minority_owned_business, self_certified_small_disadvanted_business, small_business, special_designations, subchapter_s_corporation, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80JSC024F0025_8000_80JSC018A0012_8000/,,,,
USAspending Terminations,MD-03,"Straughan Environmental, Inc.",80JSC025FA076,P00017,M,OTHER ADMINISTRATIVE ACTION,2025-01-14,G,EXERCISE AN OPTION,2026-07-15,,,,,2025-03-01,2026-09-30,period_of_performance,2026-02-28,1135843.46,825972.25,"CANCELLATION OF PARTIAL STOP WORK NOTICE AS NON-APPLICABLE - CALL 02 (T&M SUPPORT), JSC ENVIRONMENTAL SERVICES TEAM II (JEST II)",termination_language,Termination-language transaction P00004 on 2025-02-24,"category_business, corporate_entity_not_tax_exempt, dot_certified_disadvantaged_business_enterprise, economically_disadvantaged_women_owned_small_business, minority_owned_business, other_minority_owned_business, self_certified_small_disadvanted_business, small_business, special_designations, subchapter_s_corporation, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80JSC025FA076_8000_80JSC024AA029_8000/,,,,
USAspending Terminations,MD-03,"Straughan Environmental, Inc.",80JSC025FA077,P00027,,,2025-01-14,B,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,2026-08-06,,,,,2025-03-01,2026-09-30,period_of_performance,2026-02-28,711537.67,571122.74,"CANCELLATION OF PARTIAL STOP WORK NOTICE AS NON-APPLICABLE - CALL 03 (NON-CORE SUPPORT), JSC ENVIRONMENTAL SERVICES TEAM II (JEST II)",termination_language,Termination-language transaction P00003 on 2025-02-18,"category_business, corporate_entity_not_tax_exempt, dot_certified_disadvantaged_business_enterprise, economically_disadvantaged_women_owned_small_business, minority_owned_business, other_minority_owned_business, self_certified_small_disadvanted_business, small_business, special_designations, subchapter_s_corporation, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80JSC025FA077_8000_80JSC024AA029_8000/,,,,
DOGE,VA-09,"Techpride, Inc.",80NSSC25FA034,P00002,,,2024-10-21,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-10,P00002,2025-03-10,,,2024-10-21,2025-03-10,period_of_performance,2025-10-21,75664.00,75664.00,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 2/18/2025. Scan program,external_claim,TERMINATED,"asian_pacific_american_owned_business, category_business, corporate_entity_not_tax_exempt, historically_underutilized_business_firm, minority_owned_business, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC25FA034_8000_47QRAA19D006N_4732/,DOGE,TERMINATED,0.0,2/18/2025
NASA Procurement Data View,CA-36,The Aerospace Corporation,80HQTR24F0096,P00002,,,2024-09-26,M,OTHER ADMINISTRATIVE ACTION,2025-04-08,,,,,2024-09-26,2025-04-08,period_of_performance,2025-09-30,61000.00,37752.23,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - STRATEGIC COMMUNICATIONS AND INTEGRATION SUPPORT FOR MISSION SUPPORT DIRECTORATE,description_keyword,,"category_business, corporate_entity_tax_exempt, nonprofit, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0096_8000_80GSFC19D0011_8000/,,,,
USAspending Terminations,CA-36,The Aerospace Corporation,80GSFC22CA013,P00006,,,2022-07-11,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-02-09,P00006,2026-02-09,,,2022-07-11,2025-12-19,period_of_performance,2028-10-31,1986108.00,1982220.21,INTERDISCIPLINARY SCIENTIST SUPPORT FOR THE GEOSPACE DYNAMICS CONSTELLATION (GDC) PROGRAM.,termination_action_code,Terminate-for-convenience action P00006 on 2026-02-09,"category_business, corporate_entity_tax_exempt, nonprofit, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80GSFC22CA013_8000_-NONE-_-NONE-/,,,,
DOGE,CA-36,The Aerospace Corporation,80LARC24F0039,P00002,,,2024-09-27,M,OTHER ADMINISTRATIVE ACTION,2026-03-17,P00001,2025-04-15,,,2024-09-27,2025-04-15,period_of_performance,2025-07-31,0.00,0.00,"Status: TERMINATED. Reported savings: $162,533.00. DOGE Action Date: 7/1/2025. Space applied research: guide future human-rated spacecraft fire safety system, NASA engineering and safety center's team",external_claim,TERMINATED,"category_business, corporate_entity_tax_exempt, nonprofit, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80LARC24F0039_8000_80GSFC19D0011_8000/,DOGE,TERMINATED,162533.0,7/1/2025
DOGE,CA-36,The Aerospace Corporation,80LARC25F7003,P00002,,,2024-12-13,M,OTHER ADMINISTRATIVE ACTION,2026-03-17,P00001,2025-04-15,,,2024-12-13,2025-04-15,period_of_performance,2025-12-12,0.00,0.00,"Status: TERMINATED. Reported savings: $42,518.00. DOGE Action Date: 5/15/2025. NASA engineering and safety center's (NESC) environmental control and life support (ECLSS) technical discipline team (TDT), provides technical expertise for resolution of issues related to vehicle and spacesuit environmental control.",external_claim,TERMINATED,"category_business, corporate_entity_tax_exempt, nonprofit, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80LARC25F7003_8000_80GSFC19D0011_8000/,DOGE,TERMINATED,42518.0,5/15/2025
DOGE,TX-07,The Jandor Group LLC,80NSSC24PC064,P00001,,,2024-08-14,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-08,P00001,2025-04-08,,,2024-08-14,2025-04-09,period_of_performance,2025-08-14,100000.00,100000.00,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Training,external_claim,TERMINATED,"category_business, corporate_entity_not_tax_exempt, hispanic_american_owned_business, limited_liability_corporation, minority_owned_business, self_certified_small_disadvanted_business, service_disabled_veteran_owned_business, small_business, special_designations, us_owned_business, veteran_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC24PC064_8000_-NONE-_-NONE-/,DOGE,TERMINATED,0.0,5/6/2025
USAspending Terminations,MD-07,The Johns Hopkins University,80NSSC22K1414,P00004,A,NEW,2022-08-16,D,ADJUSTMENT TO COMPLETED PROJECT,2025-02-10,,,P00004,2025-02-10,2022-09-01,2025-08-31,period_of_performance,2025-08-31,313476.14,313476.14,21-XRP21-0114  A THREE-DIMENSIONAL EXTINCTION MAP FOR MICROLENSING PLANET DISCOVERY AND CHARACTERIZATION,obligation_clawback,"Pure-clawback deobligation P00004 on 2025-02-10 (25% of $420,718)","category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, other_than_small_business, private_institution_of_higher_education, special_designations, us_owned_business",https://www.usaspending.gov/award/ASST_NON_80NSSC22K1414_080/,,,,
DOGE,MD-07,The Johns Hopkins University,80NSSC24K0177,P00004,A,NEW,2023-11-30,D,ADJUSTMENT TO COMPLETED PROJECT,2026-03-11,,,P00004,2026-03-11,2023-10-25,2025-03-21,period_of_performance,2026-10-24,507640.22,507640.22,"DOGE Action Date: 3/21/2025. Reported savings: $496,601.00. Basic research: resolving intra urban variability in heat and air quality from space and the ground leveraging diverse observations to support environmental justice",external_claim,,"category_business, corporate_entity_tax_exempt, educational_institution, higher_education, nonprofit, other_than_small_business, private_institution_of_higher_education, special_designations, us_owned_business",https://www.usaspending.gov/award/ASST_NON_80NSSC24K0177_080/,DOGE,,496601.0,3/21/2025
USAspending Terminations,MD-03,The Johns Hopkins University Applied Physics Laboratory LLC,80MSFC24F0067,P00003,,,2024-03-22,M,OTHER ADMINISTRATIVE ACTION,2025-04-21,,,,,2024-04-01,2025-01-23,period_of_performance,2028-09-30,61257.49,61257.49,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - HERE TO OBSERVE (H2O) SUPPORT FOR PLANETARY SCIENCE DIVISION (PSD) MISSIONS,termination_language,Termination-language transaction P00002 on 2025-01-23,"category_business, educational_institution, higher_education, limited_liability_corporation, minority_owned_business, nonprofit, other_minority_owned_business, other_than_small_business, private_institution_of_higher_education, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80MSFC24F0067_8000_80MSFC20D0004_8000/,,,,
USAspending Terminations,MD-03,The Johns Hopkins University Applied Physics Laboratory LLC,80MSFC22F0153,P00005,,,2022-07-15,C,FUNDING ONLY ACTION,2025-09-25,,,,,2022-07-15,2025-04-08,period_of_performance,2023-03-31,19512.00,19010.22,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - NESC AVIONICS PACKAGING ENGINEERING PROCESSES AND BEST PRACTICES,termination_language,Termination-language transaction P00004 on 2025-04-08,"category_business, educational_institution, higher_education, limited_liability_corporation, minority_owned_business, nonprofit, other_minority_owned_business, other_than_small_business, private_institution_of_higher_education, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80MSFC22F0153_8000_80MSFC20D0004_8000/,,,,
USAspending Terminations,FL-07,"The Performance Knowledge Group, LLC",80KSC021A0007,P00006,,,2021-05-07,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-21,P00006,2025-03-21,,,2021-07-01,2025-02-14,idv_last_date_to_order,2026-03-29,0.00,,TERMINATE FOR CONVENIENCE AGREEMENT - STRATEGIC MANAGEMENT SUPPORT SERVICES FOR MULTIPLE CUSTOMERS.,termination_action_code,Terminate-for-convenience action P00006 on 2025-03-21,"category_business, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_IDV_80KSC021A0007_8000/,,,,
DOGE,FL-07,"The Performance Knowledge Group, LLC",80KSC024F0043,P00004,,,2024-07-11,M,OTHER ADMINISTRATIVE ACTION,2025-04-10,,,,,2024-07-01,2025-02-14,period_of_performance,2025-06-30,137213.00,137213.00,"Status: Expired. Reported savings: $0. DOGE Action Date: 2/18/2025. Non-personal services contract to provide strategic management support, professional/team coaching, advanced planning, integration, and implementation to NASA kennedy space center (KSC), launch service program.",external_claim,Expired,"category_business, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80KSC024F0043_8000_80KSC021A0007_8000/,DOGE,Expired,0.0,2/18/2025
DOGE,FL-07,"The Performance Knowledge Group, LLC",80KSC024F0044,P00002,,,2024-07-11,M,OTHER ADMINISTRATIVE ACTION,2025-04-10,,,,,2024-07-01,2025-02-14,period_of_performance,2025-06-30,77219.10,77219.10,"Status: Expired. Reported savings: $0. DOGE Action Date: 2/18/2025. Non-personal services contract to provide strategic management support, professional/team coaching, advanced planning, integration, and implementation to NASA kennedy space center (KSC), exploration ground system (EGS)",external_claim,Expired,"category_business, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80KSC024F0044_8000_80KSC021A0007_8000/,DOGE,Expired,0.0,2/18/2025
